行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
 肥东县,  合肥荣力置业有限公司 江西万和房地产开发有限公司,  撮镇镇长临路与汊涧路交口西南角,4.7098,  城镇住宅用地,  拍卖出让,70,  房地产业,56520,  合肥荣力置业有限公司 江西万和房地产开发有限公司?,  1.001.80,2020年7月1日,2021年3月1日,2022年9月1日,
 肥东县,  肥东县撮八电灌工程管理处公共管理与公共服务项目,  肥东县杨店乡向阳村致富组、管东组,0.5333,  公用设施用地,  划拨,  ,  公共设施管理业,103.2016,  肥东县撮八电灌工程管理处,1,2020年6月23日,2020年9月23日,2022年9月23日,
 合肥市本级,  合肥灏洲房地产开发有限公司,  肥东县撮镇镇和平路与桥头集路交口西南角,7.3848,  城镇住宅用地,  拍卖出让,70,  房地产业,73108.2,  合肥灏洲房地产开发有限公司?,  1.002.00,2020年6月23日,2021年3月1日,2021年9月1日,
 合肥市本级,  中国银联股份有限公司,  合肥滨湖区西藏路以东、贵阳路以南,15.206681,  其他商服用地,  挂牌出让,40,  银行业,56568.8534,  中国银联股份有限公司?,3,2020年6月16日,2021年4月16日,2023年10月16日,
 合肥市本级,  安徽联投地产有限公司,  合肥滨湖区汉水路（庐州大道—庐山路段）,0.3857,  其他商服用地,  挂牌出让,40,  房地产业,190.9215,  安徽联投地产有限公司?,  1.001.00,2020年6月16日,2021年2月16日,2022年2月16日,
 合肥市本级,  合肥粤祺商业运营管理有限公司,  合肥市瑶海区银屏路以东、明光路以北,0.081479,  其他商服用地,  协议出让,40,  房地产业,1409.1793,  合肥粤祺商业运营管理有限公司?,8,2020年6月12日,2021年2月12日,2022年2月12日,
 合肥市本级,  合肥公交集团有限公司,  合肥市庐阳区北二环路以北、淮北路以东,2.01735,  医疗卫生用地,  拍卖出让,50,  城市公共交通业,7928.1855,  合肥公交集团有限公司?,1.5,2020年6月12日,2021年2月12日,2022年2月12日,
 合肥市本级,  庐阳区全民健身体育中心（公园）,  合肥市庐阳区凤淮路与固镇路交口西北角,2.687766,  体育用地,  划拨,  ,  教育业,  ,  合肥市庐阳区教育体育局,1,2020年6月5日,2020年8月4日,2021年8月4日,
 合肥市本级,  江村路（龙川路-谭渡路）,  合肥市包河区,2.071839,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市包河区住房和城乡建设局,  ,2020年6月5日,2020年8月4日,2021年8月4日,
 合肥市本级,  新桥大道（望江西路至长江西路）改建工程,  合肥市蜀山区,3.6247,  城镇村道路用地,  划拨,  ,  城市公共交通业,  ,  合肥交通投资控股有限公司,  ,2020年6月5日,2020年8月4日,2021年8月4日,
 合肥市本级,  红卫南路（高长路-河东路）,  合肥经开区北区,2.701426,  城镇村道路用地,  划拨,  ,  公共设施管理业,  ,  合肥经开建设投资有限公司,  ,2020年6月5日,2020年9月5日,2021年9月5日,
 合肥市本级,  天门湖公租房三期,  合肥经开区蓬莱路东、紫云路北,1.829221,  城镇住宅用地,  划拨,  ,  房地产业,  ,  合肥海恒投资控股集团公司,  1.002.50,2020年6月5日,2020年9月5日,2021年9月5日,
 合肥市本级,  红卫北路（高长路-中川路）,  合肥经开区北区,1.061219,  城镇村道路用地,  划拨,  ,  公共设施管理业,  ,  合肥经开建设投资有限公司,  ,2020年6月5日,2020年9月5日,2021年9月5日,
 合肥市本级,  小庙镇公交枢纽站项目,  合肥市蜀山区,0.7929,  城镇村道路用地,  划拨,  ,  中国共产党机关,  ,  合肥市蜀山区住房和城乡建设局,  ,2020年6月5日,2020年8月4日,2021年8月4日,
 合肥市本级,  柿园路（富蕴路-庆阳路）,  合肥经开区北区,0.616994,  城镇村道路用地,  划拨,  ,  公共设施管理业,  ,  合肥经开建设投资有限公司,  ,2020年6月5日,2020年9月5日,2021年9月5日,
 合肥市本级,  安徽托展智能科技有限公司,  合肥高新区侯店路与师姑墩北支路交口东北角,0.8786,  工业用地,  挂牌出让,50,  其他服务业,337.3824,  安徽托展智能科技有限公司?,1.2,2020年6月4日,2020年9月3日,2021年9月3日,
