行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
广阳区,廊坊市裕丰房地产开发有限公司,新源道以北、丰盛路以东,10.550377,城镇住宅用地,拍卖出让,70,房地产业,84450,廊坊市裕丰房地产开发有限公司,1.302.20,2020年7月13日,2021年10月12日,2024年10月11日,
广阳区,廊坊市裕丰房地产开发有限公司,新源道以北、丰盛路以东,1.428542,城镇住宅用地,拍卖出让,70,房地产业,11330,廊坊市裕丰房地产开发有限公司,1.302.00,2020年7月13日,2021年10月12日,2024年10月11日,
霸州市,年产50万件五金配件项目,东段乡马家堡村，津保高速南侧、廊泊公路西侧,0.6566,工业用地,挂牌出让,50,金属制品业,360,霸州市海洪金属制品有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年加工200万个包装纸箱项目,堂二里镇义和庄村,0.0689,工业用地,挂牌出让,50,造纸及纸质品业,24,霸州市军辉纸制品有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
固安县,固安嘉凯房地产开发有限公司项目用地,育才南侧东侧、兴旺街南侧,0.348009,城镇住宅用地,拍卖出让,70,房地产业,2415,固安嘉凯房地产开发有限公司,1.302.00,2020年7月9日,2021年9月7日,2024年9月6日,
霸州市,年产800万平方米科技布项目,堂二里镇义和庄村,0.3207,工业用地,挂牌出让,20,家具制造业,95,霸州市长兴科技有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
固安县,固安嘉凯房地产开发有限公司项目用地,育才南路东侧、兴旺街南侧,2.57204,城镇住宅用地,拍卖出让,70,房地产业,18054,固安嘉凯房地产开发有限公司,1.302.00,2020年7月9日,2021年9月7日,2024年9月6日,
霸州市,年加工50万片钢化玻璃项目,堂二里镇义合庄村,0.2639,工业用地,挂牌出让,30,家具制造业,88,霸州市悦鑫家具有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年产400万片镜子项目,堂二里镇义合庄村,1.6219,工业用地,挂牌出让,30,家具制造业,577,霸州市悦鑫家具有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年产800万平方米科技布项目,堂二里镇北崔家堡村,0.981,工业用地,挂牌出让,20,家具制造业,292,霸州市长兴科技有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年产10万套感应式电子裁判四国军棋项目,东段乡马家堡村，廊泊公路西侧、津保高速南侧,0.8268,工业用地,挂牌出让,30,文教体育用品制造业,290,霸州市海萌电子科技有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年加工200万个包装纸箱项目,堂二里镇义和庄村,1.1105,工业用地,挂牌出让,30,造纸及纸质品业,436,霸州市军辉纸制品有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,改建年产80万套木门项目,东段乡王家堡村，霸扬公路南侧,1.4377,工业用地,挂牌出让,20,家具制造业,432,霸州市三胜木一木业有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年加工200万个包装纸箱项目,堂二里镇义和庄村,1.1184,工业用地,挂牌出让,30,造纸及纸质品业,454,霸州市军辉纸制品有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
霸州市,年加工80万年包装纸箱项目,堂二里镇义合庄村，廊泊公路以西、112国道以北,1.1585,工业用地,挂牌出让,30,造纸及纸质品业,407,霸州市军辉纸制品有限公司,1.2,2020年7月9日,2021年9月6日,2023年9月5日,
文安县,福道智造（河北）应急装备科技有限公司,文安新桥环保科技产业园,1.142467,工业用地,拍卖出让,50,计算机服务业,553,福道智造（河北）应急装备科技有限公司,1,2020年7月8日,2021年10月8日,2023年10月7日,
文安县,文安县观海房地产开发有限公司,文安县滩里镇杨管营村,0.228429,城镇住宅用地,拍卖出让,70,房地产业,413,文安县观海房地产开发有限公司,1.302.40,2020年7月8日,2021年10月8日,2024年10月7日,
文安县,廊坊瀚唐教育咨询服务有限公司,智能装备产业园内,3.926466,教育用地,拍卖出让,50,教育业,2317,廊坊瀚唐教育咨询服务有限公司,0.9,2020年7月8日,2021年10月8日,2023年10月7日,
文安县,河北童杰教育科技有限公司,智能装备产业园内,3.617173,教育用地,拍卖出让,50,教育业,2135,河北童杰教育科技有限公司,0.9,2020年7月8日,2021年10月8日,2023年10月7日,
文安县,文安县广盛房地产开发有限公司,文安县滩里镇杨管营村,0.066651,城镇住宅用地,拍卖出让,70,房地产业,121,文安县广盛房地产开发有限公司,1.302.40,2020年7月8日,2021年10月8日,2024年10月7日,
三河市,皓月雅苑项目,燕郊高新区迎宾路东侧、北二路南侧,4.683823,城镇住宅用地,招标出让,70,房地产业,49140,三河市顺诚房地产开发有限公司,1.001.80,2020年7月7日,2021年8月15日,2024年8月15日,
永清县,2019年度第四批次建设用地1-1号地块项目,永清县大麻子庄村东,0.470069,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,304,廊坊炫迪凯服装服饰有限公司,1.002.50,2020年7月7日,2021年7月6日,2023年7月6日,
永清县,2019年度第四批次建设用地1-2号地块项目,永清县大麻子庄村东,0.639064,工业用地,挂牌出让,50,纺织服装、鞋、帽制造业,404,永清县宏驰服装服饰有限公司,1.002.50,2020年7月7日,2021年7月6日,2023年7月6日,
安次区,廊坊市荣翔房地产开发有限公司项目,廊霸路以北、龙河以南、半截河西侧、于常甫村村址,1.291405,城镇住宅用地,拍卖出让,70,房地产业,7922,廊坊市荣翔房地产开发有限公司,1.302.20,2020年7月6日,2021年8月6日,2024年8月5日,
霸州市,智能化装配式建筑生产研发基地项目,辛章办事处策城四村，辛开路西侧,11.5894,工业用地,拍卖出让,50,建筑装饰业,6230,河北雄雅建筑材料科技有限公司,1.2,2020年7月3日,2021年8月31日,2023年8月30日,
廊坊市本级,热景（廊坊）生物技术有限公司,廊坊经济技术开发区官东路西侧，热景（廊坊）生物技术有限公司北侧,1.33334,工业用地,拍卖出让,50,医药制造业,930,热景（廊坊）生物技术有限公司,1.202.50,2020年7月3日,2021年10月2日,2023年10月1日,
霸州市,迎宾华府项目,城区办事处大魏家营村，迎宾道南侧,2.85,城镇住宅用地,拍卖出让,70,房地产业,11388,霸州市宸阳房地产开发有限公司,1.302.00,2020年7月3日,2021年8月31日,2024年8月30日,
霸州市,迎宾道国蕴城二区项目,城区办事处大魏家营村，范家坊村，迎宾道北侧,2.1573,城镇住宅用地,拍卖出让,70,房地产业,8632,廊坊广安房地产开发有限公司,1.302.00,2020年7月3日,2021年9月1日,2024年8月31日,
霸州市,迎宾道国蕴城二区项目,城区办事处大魏家营村，迎宾道北侧,3.0501,城镇住宅用地,拍卖出让,70,房地产业,13430,廊坊广安房地产开发有限公司,1.302.50,2020年7月3日,2021年9月1日,2024年8月31日,
广阳区,广阳经济开发区已征范围内绿化用地项目,廊坊市广阳经济开发区内,7.834249,公园与绿地,划拨,,国家机构,,河北廊坊广阳经济开发区管理委员会,,2020年7月3日,,,
廊坊市本级,开新城市开发建设有限公司,廊坊经济技术开发区和平路东侧、花园道北侧,4.90707,城镇住宅用地,拍卖出让,70,房地产业,33460,开新城市开发建设有限公司,1.302.20,2020年7月3日,2021年10月8日,2024年10月7日,
固安县,固安县委党校迁建项目,固安县柳泉镇北辛街村,3.545,教育用地,划拨,,教育业,,固安县委党校,2.2,2020年7月3日,2021年7月2日,2023年7月1日,
霸州市,智慧家居产业研发生产基地项目,辛章办事处北柳村，协和路北侧,0.7066,工业用地,挂牌出让,50,家具制造业,389,霸州市三强家具有限公司,1.2,2020年7月2日,2021年8月30日,2023年8月29日,
霸州市,年产6万吨复合调味品项目,南孟镇安家营村，村道南侧、气象局北,2.5548,工业用地,挂牌出让,20,农副食品加工业,781,河北争荣生物科技股份有限公司,1.2,2020年7月2日,2021年8月30日,2023年8月29日,
安次区,廊坊市凤欣房地产开发有限公司项目,汇文道以南、瑞雪道以北、龙翔路南段以西、龙腾路以东,4.864566,城镇住宅用地,拍卖出让,70,房地产业,53200,廊坊市凤欣房地产开发有限公司,1.302.00,2020年6月30日,2021年7月30日,2024年7月29日,
