行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
濉溪县,中铁十六局集团有限公司,濉溪县濉溪镇南环城路北、十南街东,6.40482,城镇住宅用地,挂牌出让,城镇住宅用地70年; 其他商服用地40年;,建筑业,15745,中铁十六局集团有限公司,1.002.20,2020年6月23日,2020年8月23日,2022年8月23日,
濉溪县,淮北万良环保科技有限公司,濉溪县百善镇马乡村用地东、戚家沟北,3.345464,工业用地,挂牌出让,50,其它,469,淮北万良环保科技有限公司,1,2020年6月22日,2020年12月22日,2021年12月22日,
淮北市本级,和协大厦,古城路北、孟山路东,0.04711,零售商业用地,协议出让,27,房地产业,435.5,淮北市美味宫商贸有限公司,1.002.15,2020年6月15日,,,
濉溪县,关于前吴（三和）35KV输变电工程建设项目,濉溪县双堆集镇三和村,0.27301,公用设施用地,划拨,,火力发电,,国网安徽省电力有限公司濉溪县供电公司,1.2,2020年6月9日,2020年8月9日,2022年2月9日,
濉溪县,关于濉溪县五沟镇童亭村党群服务中心工程项目,五沟镇童亭村,0.084553,机关团体用地,划拨,,群众团体、社会团体和宗教组织,,濉溪县五沟镇人民政府,2.2,2020年6月9日,2020年8月9日,2022年2月9日,
濉溪县,关于濉溪县国家综合档案馆项目,濉溪县河西区濉河西路南、合欢北路东,0.574476,文化设施用地,划拨,,文化艺术业,,濉溪县档案馆,0.701.80,2020年6月9日,2020年8月9日,2022年2月9日,
濉溪县,濉溪县老年公寓项目,濉溪县刘桥镇政府北侧,0.66667,社会福利用地,划拨,,社会福利业,,濉溪县民政局,1.2,2020年6月9日,2020年8月9日,2022年2月9日,
濉溪县,关于濉溪县孙疃镇镇卫生院（乡村医养结合）项目,濉溪县孙疃镇孙疃村,2.33333,医疗卫生用地,划拨,,卫生,,濉溪县孙疃镇镇卫生院,1,2020年6月9日,2020年8月9日,2022年2月9日,
濉溪县,中铁十六局集团置业投资有限公司,濉溪县河西区沱河西路南、合欢路东,6.157969,城镇住宅用地,挂牌出让,70,房地产业,22500,中铁十六局集团置业投资有限公司,1.002.20,2020年6月4日,2021年6月4日,2023年6月4日,
濉溪县,安徽省中瑞农副产品有限责任公司,濉溪经济开发区利民路东、刘桥路南,6.387344,其他商服用地,挂牌出让,40,批发业,3860,安徽省中瑞农副产品有限责任公司,1.001.20,2020年6月1日,2020年11月1日,2021年11月1日,
淮北市本级,淮北市监管中心运动场进场道路建设项目,杜集区白顶山村南,0.20675,监教场所用地,划拨,,国家机构,0,淮北市公安局,,2020年5月22日,2021年10月31日,2022年10月31日,
淮北市本级,烈山区训练基地建设工程,烈山区境内,0.982936,机关团体用地,划拨,,国家机构,0,烈山区训练基地主管部门,0.49,2020年5月22日,2021年10月31日,2022年10月31日,
