行政区,项目名称,项目位置,面积(公顷),土地用途,供地方式,土地使用年限,行业分类,成交价格(万元),土地使用权人,约定容积率,合同签订日期,约定开工时间,约定竣工时间,
歙县,电力杆塔器材,富堨镇工业园区,2.582836,工业用地,挂牌出让,50,其它,247.9523,黄山市富通电力杆塔器材有限公司,1,2020年6月29日,2020年12月30日,2021年12月30日,
祁门县,祁门县粮食和物资储备中心项目,祁门县绿色产业园,1.53958,公用设施用地,划拨,,社会保障业,346.41,祁门县粮食购销有限公司,1.002.00,2020年6月28日,2020年12月30日,2022年12月30日,
黄山区,黄山太平经开区源磁新材料,太平经济开发区A-51地块十二,1.548679,工业用地,挂牌出让,50,制造业,149,黄山源磁新材料科技有限公司,1,2020年6月28日,2021年3月28日,2023年3月28日,
黄山区,永丰乡旅游项目永丰村局部地块,永丰乡永丰村,0.437239,其他商服用地,挂牌出让,40,文化、体育和娱乐业,157,黄山永鸿文化旅游开发有限公司,0.700.90,2020年6月28日,2021年3月28日,2023年3月28日,
黄山区,永丰乡旅游项目岭上村局部地块,永丰乡岭上村,0.30503,其他商服用地,挂牌出让,40,文化、体育和娱乐业,105,黄山永鸿文化旅游开发有限公司,0.100.30,2020年6月28日,2021年3月28日,2023年3月28日,
黄山区,黄山太平经开区众友耐磨,太平经济开发区A-11地块三,0.769051,工业用地,挂牌出让,50,制造业,74,黄山众友耐磨材料有限公司,1,2020年6月28日,,,
黄山区,黄山太平经开区华盛精密耐磨,太平经济开发区A-11地块一,0.529019,工业用地,挂牌出让,50,制造业,51,黄山市黄山区华盛精密耐磨材料有限公司,1,2020年6月28日,,,
黄山区,黄山太平经开区中发耐磨,太平经济开发区A-11地块二,0.859533,工业用地,挂牌出让,50,制造业,83,黄山中发耐磨材料有限公司,1,2020年6月28日,,,
休宁县,黄山红帆酒店管理有限公司西北侧地块,黄山红帆酒店管理有限公司西北侧,0.102569,其他商服用地,挂牌出让,40,商务服务业,104.21,黄山红帆酒店管理有限公司,1.001.60,2020年6月25日,2020年9月25日,2020年9月25日,
休宁县,休宁县三佳谊华东侧地块,休宁县经济开发区徽商白岳路西侧,0.346115,工业用地,挂牌出让,50,电信和其他信息传输服务业,34.26,安徽奥明通信科技有限公司,1,2020年6月25日,2020年11月25日,2021年11月25日,
休宁县,原昌辉地块,休宁县溪口镇石田村,0.86107,其他商服用地,挂牌出让,其他商服用地40年; 城镇住宅用地70年;,商务服务业,647.52,黄山市月潭湖开发投资有限公司,1.001.20,2020年6月25日,2020年11月25日,2022年11月25日,
歙县,鸿利包装制品,歙县经济开发区城西园区,0.91866,工业用地,挂牌出让,50,塑料制品业,135.043,黄山鸿利包装制品有限公司,1.001.20,2020年6月24日,2020年12月30日,2021年12月30日,
黄山区,新明乡东风水库北侧地块,新明乡东风水库北侧,0.125896,旅馆用地,挂牌出让,40,住宿和餐饮业,672.2281,黄山梦里徽州生态农业科技有限公司,1.902.10,2020年6月24日,,,
徽州区,潜口镇上庄安置点项目,徽州区潜口镇,0.8728,城镇住宅用地,划拨,,国家机构,169.8152,黄山市徽州区潜口镇人民政府,1.001.10,2020年6月24日,2022年1月24日,2025年1月24日,
歙县,加佳荧光,歙县经济开发区城西园区,2.424675,工业用地,挂牌出让,50,塑料制品业,356.4272,黄山加佳荧光材料有限公司,0.801.00,2020年6月24日,2020年12月30日,2021年12月30日,
黄山区,黄山太平经开区仙都路延伸段,黄山太平经开区,0.451089,城镇村道路用地,划拨,,制造业,,黄山区综合经济园区投资开发有限公司,,2020年6月23日,2021年3月23日,2023年3月23日,
黄山区,新丰乡文旅集散一体化服务中心,新丰乡新丰村,0.387003,文化设施用地,划拨,,国家机构,,黄山区新丰乡人民政府,0.200.50,2020年6月23日,2021年3月23日,2023年3月23日,
黄山区,东黄山国际小镇基础设施工程2019年第三批道路（东山下路）,谭家桥镇,1.46282,城镇村道路用地,划拨,,国家机构,,黄山市黄山区住房和城乡建设局,,2020年6月23日,2021年3月23日,2023年3月23日,
黄山区,东黄山国际小镇基础设施工程2019年第二批道路（枢纽三路）,谭家桥镇,0.14216,城镇村道路用地,划拨,,国家机构,,黄山市黄山区住房和城乡建设局,,2020年6月23日,2021年3月23日,2023年3月23日,
黄山区,黄山现代农业示范区农机大院项目补增地块,三口镇巷联村,0.024439,科研用地,划拨,,科学研究、技术服务和地质勘查业,,生态环境部南京环境科学研究所,0.200.40,2020年6月23日,,,
黟县,自然博物学校,黟县西递镇潭口村,0.1245,其他商服用地,挂牌出让,40,教育业,67.4824,黄山好玩教育科技有限公司,1.001.20,2020年6月23日,2021年6月23日,2023年6月23日,
黄山市本级,黄山市中承永道餐饮管理有限公司,黄山高新区战兴园，翰林路西侧、战兴一路北侧,3.338092,工业用地,挂牌出让,50,食品制造业,550.7852,黄山市中承永道餐饮管理有限公司,1.2,2020年6月19日,2020年10月19日,2022年6月19日,
黄山市本级,安徽匠传食品科技有限公司,黄山经济开发区，梅林大道东侧,2.80931,工业用地,挂牌出让,50,食品制造业,1432.7481,安徽匠传食品科技有限公司,1.2,2020年6月19日,2020年10月19日,2022年6月19日,
黄山市本级,黄山维龙置业开发有限公司,黄山经济开发区，霞塘河东侧、区间路南侧、蓬莱路西侧、太湖流域管理局水文水资源检测局用地北侧,0.178381,其他商服用地,挂牌出让,40,商务服务业,227.4358,黄山维龙置业开发有限公司,2.5,2020年6月19日,2020年10月29日,2021年10月29日,
徽州区,西溪南农贸市场工程项目,徽州区西溪南镇,0.5693,公用设施用地,划拨,,国家机构,102.9358,黄山市徽州区西溪南镇人民政府,0.27,2020年6月19日,2022年1月19日,2025年1月19日,
歙县,原祥泰用地,霞坑镇霞坑村,2.248866,城镇住宅用地,挂牌出让,70,房地产业,351.048,歙县天利达房地产开发有限责任公司,1.001.50,2020年6月17日,2020年10月31日,2021年10月31日,
黄山市本级,蕉充安置区（三期）,经开区,0.779138,城镇住宅用地,划拨,,其他服务业,23.9585,黄山市开发投资集团有限公司,1.311.31,2020年6月11日,2020年9月11日,2022年6月11日,
休宁县,S326齐云山段接线工程,休宁县齐云山镇岩前村、环居村,5.662903,公路用地,划拨,,国家机构,424.31,休宁县交通运输局,0,2020年6月10日,2020年9月10日,2022年9月10日,
休宁县,榆村乡小学操场,休宁县榆村乡榆村村,0.092687,教育用地,划拨,,教育业,7.77,休宁县教育局,0,2020年6月10日,,,
黄山市本级,华山桥头绿地公园,华山桥头,0.932729,公园与绿地,划拨,,国家机构,0,黄山市市政工程管理处,,2020年6月8日,,,
黄山市本级,云村安置区,屯溪区云村,2.6402,城镇住宅用地,划拨,,群众团体、社会团体和宗教组织,0,安东合作经济社,1.001.60,2020年6月8日,,,
黄山市本级,雀山路,屯溪区,0.490021,城镇村道路用地,划拨,,国家机构,0,黄山市市政工程管理处,,2020年6月8日,,,
黄山市本级,仙人洞路,屯溪区,2.1429,城镇村道路用地,划拨,,国家机构,0,黄山市市政工程管理处,,2020年6月8日,,,
黄山市本级,新安桥头绿地公园,屯溪区新安桥头,0.966639,公园与绿地,划拨,,其他服务业,0,屯溪区住建局,,2020年6月8日,,,
黄山市本级,轩辕大道北段,经开区,21.089929,城镇村道路用地,划拨,,中国共产党机关,0,黄山经济开发区管理委员会,,2020年6月8日,,,
黄山区,黄山区生态公益性公墓项目（二期）,甘棠镇玉河村,1.333741,殡葬用地,划拨,,国家机构,,黄山市黄山区民政局,0.200.40,2020年6月8日,2021年3月8日,2023年3月8日,
歙县,兰信酒店边角地,紫经大道南侧，歙州大道北侧,0.055574,旅馆用地,协议出让,40,房地产业,48.5161,黄山兰信大酒店有限公司,0.004.80,2020年6月4日,2020年10月30日,2022年10月30日,
